replicate_id,bigvgan_base_24khz_100band,bigvgan_v2_24khz_100band_256x,bridgevoc,comvo_base,comvo_large,flow2gan,freev,griffin_lim,hifigan_universal_v1,periodwave_24k,periodwave_turbo,rfwave_libritts_24k,rndvoc,vocos_mel_24khz,wavefm
0,70.73487091064453,72.31842041015625,74.63423156738281,72.31585693359375,69.65280151367188,75.25513458251953,64.2321548461914,79.18074798583984,65.34336853027344,65.0234375,72.45077514648438,63.74320602416992,76.1989517211914,74.37528991699219,65.91110229492188
1,70.8798828125,72.54681396484375,74.8221435546875,72.64092254638672,69.88006591796875,75.45329284667969,65.19564056396484,79.4438705444336,65.56746673583984,65.20706939697266,72.64109802246094,63.65903091430664,76.32378387451172,74.66126251220703,66.18827056884766
2,70.86526489257812,72.41156005859375,74.66764068603516,72.47501373291016,69.74652099609375,75.40192413330078,64.88792419433594,79.25444030761719,65.47187042236328,65.08661651611328,72.56459045410156,63.679683685302734,76.21537780761719,74.6082763671875,65.90678405761719
3,70.58271789550781,72.12602996826172,74.48351287841797,72.26880645751953,69.564453125,75.06755065917969,64.68890380859375,79.13348388671875,65.14779663085938,64.88874053955078,72.23765563964844,63.624698638916016,76.01162719726562,74.21426391601562,65.839599609375
4,70.98418426513672,72.49372863769531,74.75642395019531,72.50234985351562,69.75615692138672,75.45995330810547,64.80753326416016,79.36515045166016,65.4675521850586,65.14749145507812,72.63806915283203,63.67400741577149,76.2625961303711,74.71143341064453,66.18694305419922
5,70.78657531738281,72.36963653564453,74.62161254882812,72.49729919433594,69.7492446899414,75.24931335449219,64.90522766113281,79.3182601928711,65.51509857177734,65.07701110839844,72.39215087890625,63.29858016967773,76.09645080566406,74.6065673828125,65.99034118652344
6,70.98356628417969,72.45198059082031,74.65673065185547,72.525634765625,69.80093383789062,75.38556671142578,65.31069946289062,79.29621887207031,65.82075500488281,65.17391204833984,72.6241455078125,63.60495376586914,76.04427337646484,74.70303344726562,65.99859619140625
7,70.72992706298828,72.33699798583984,74.60050201416016,72.39595031738281,69.69847106933594,75.24182891845703,64.82005310058594,79.23052978515625,65.45267486572266,65.07373809814453,72.42427062988281,63.4998664855957,76.09851837158203,74.54330444335938,65.91995239257812
8,70.932373046875,72.44683074951172,74.65541076660156,72.52985382080078,69.83956146240234,75.33638763427734,64.90167236328125,79.39059448242188,65.61165618896484,65.14006805419922,72.53108978271484,63.5555419921875,76.1954345703125,74.73041534423828,66.03518676757812
9,70.7620849609375,72.39555358886719,74.68193054199219,72.38468170166016,69.67503356933594,75.3384780883789,64.30686950683594,79.2187271118164,65.40501403808594,65.0728988647461,72.52127838134766,63.6830940246582,76.14093017578125,74.40961456298828,65.9267578125
