,bigvgan_base_24khz_100band,bigvgan_v2_24khz_100band_256x,bridgevoc,comvo_base,comvo_large,flow2gan,freev,griffin_lim,hifigan_universal_v1,periodwave_24k,periodwave_turbo,rfwave_libritts_24k,rndvoc,vocos_mel_24khz,wavefm
bigvgan_base_24khz_100band,0.0,-1.4692506790161133,-3.7067094802856446,-1.4871267318725587,1.20886287689209,-4.38470458984375,6.705285453796387,-8.3140869140625,5.621347236633301,5.831275939941406,-1.553107643127441,7.600576877593994,-5.156310653686523,-3.576796531677246,4.973144912719727
bigvgan_v2_24khz_100band_256x,1.7217260360717774,0.0,-2.190253257751465,0.0974702835083007,2.781947135925293,-2.864639091491699,8.31284990310669,-6.7682945251464846,7.26618537902832,7.422971153259278,-0.0317762374877929,9.137729930877686,-3.628250122070313,-1.938361930847168,6.552311134338379
bridgevoc,4.020647621154785,2.38057804107666,0.0,2.3780717849731445,5.056290817260742,-0.5457935333251954,10.629260444641114,-4.514327812194824,9.591462898254395,9.703888320922852,2.294350242614746,11.357155418395996,-1.41514949798584,0.4051252365112304,8.818693351745605
comvo_base,1.79613037109375,0.2105487823486328,-2.0440277099609374,0.0,2.8060466766357424,-2.6982955932617188,8.29493236541748,-6.695553588867187,7.293444633483887,7.4916166305542,0.134813117980957,9.257546520233154,-3.486653137207031,-1.873081588745117,6.619882392883301
comvo_large,-0.9285894393920898,-2.5258506774902343,-4.80634994506836,-2.634783363342285,0.0,-5.4358642578125,5.606423187255859,-9.43826961517334,4.592855072021484,4.750149726867676,-2.607564163208008,6.499315166473389,-6.252618408203125,-4.569685745239258,3.897996139526368
flow2gan,4.644907760620117,3.007363700866699,0.7697563171386719,3.06008243560791,5.749224662780762,0.0,11.263171195983888,-3.796146965026856,10.201439476013183,10.367611694335938,2.8619007110595702,12.06086597442627,-0.6721645355224609,0.9997598648071288,9.50894660949707
freev,-5.294289016723633,-6.845703315734864,-9.070163536071778,-6.982011032104492,-4.224080657958984,-9.769553184509276,0.0,-13.729400062561036,-0.0861722946166995,0.4470169067382811,-6.9465028762817385,2.203208446502685,-10.51512279510498,-9.12757797241211,-0.4639595031738282
griffin_lim,8.681721496582032,7.072474098205566,4.752503776550293,6.995516586303711,9.688066864013672,4.166308403015137,15.241098976135254,0.0,14.236669731140136,14.35477466583252,6.998427009582519,16.041650104522706,3.274887275695801,5.040384292602539,13.446070098876952
hifigan_universal_v1,-5.121435737609863,-6.655365180969239,-8.889961051940919,-6.77113094329834,-4.0423942565917965,-9.571874046325684,1.1995205879211426,-13.520820236206054,0.0,0.6149303436279296,-6.751468849182129,2.3982553482055664,-10.335552406311034,-8.89592342376709,-0.2298952102661134
periodwave_24k,-5.609501838684082,-7.175979804992676,-9.464949226379394,-7.224845886230469,-4.537497520446777,-10.085618209838866,0.9988489151000975,-14.07942886352539,-0.0601583480834961,0.0,-7.2575178146362305,1.8360041618347167,-10.913243103027344,-9.237738227844238,-0.7460613250732422
periodwave_turbo,1.8315162658691408,0.1867599487304687,-2.0475292205810547,0.2400379180908203,2.9251113891601563,-2.7737190246582037,8.445213317871094,-6.618403434753418,7.380258750915527,7.5447172164917,0.0,9.231191444396972,-3.486333465576172,-1.814042472839356,6.704403305053711
rfwave_libritts_24k,-6.88827543258667,-8.497929954528809,-10.85740327835083,-8.533160495758057,-5.856319522857666,-11.44236650466919,-0.3043962478637697,-15.44392385482788,-1.3400541305541993,-1.2210979461669922,-8.616597843170165,0.0,-12.384654808044434,-10.48175792694092,-2.098948192596436
rndvoc,5.570060157775879,3.947377014160156,1.5810436248779296,3.916809463500977,6.594537353515625,1.020730972290039,12.168525886535644,-2.9973121643066407,11.139969062805177,11.24581470489502,3.8604667663574217,12.832001686096191,0.0,1.959589004516601,10.337152671813964
vocos_mel_24khz,3.886736869812012,2.353569984436035,0.1221096038818359,2.258635139465332,4.980553245544433,-0.5583324432373047,10.371077823638917,-4.520525741577148,9.304298973083496,9.644948196411132,2.274795913696289,11.435267639160156,-1.3280052185058593,0.0,8.759887886047363
wavefm,-4.630561828613281,-6.217535972595215,-8.486808395385742,-6.271575736999512,-3.555794334411621,-9.125811767578124,1.9171815872192384,-13.114377403259278,0.9149982452392578,1.084282493591309,-6.290326118469238,2.815798664093017,-9.953045272827149,-8.287254142761231,0.0
